date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
3/1/2021,28.2,25,32.7,0,,85,11,,1010.8,
3/2/2021,28.2,25.1,32.7,0,,97,15,,1010.7,
3/3/2021,28.5,25.2,33.2,0,,87,14,,1011,
3/4/2021,28.7,25.7,33.1,0,,92,15,,1011.2,
3/5/2021,29,26.2,33.2,0,,69,15,,1010.8,
3/6/2021,29.1,26.1,33.3,0,,89,18,,1010.6,
3/7/2021,26,23.8,31.7,0,,197,11,,1011.7,
3/8/2021,27.8,23.1,32.9,36.3,,267,12,,1011.2,
3/9/2021,28,24.5,32.5,0,,105,16,,1011.2,
3/10/2021,28.4,24.9,33.1,0,,105,15,,1011,
3/11/2021,28.3,25.4,32.8,0,,105,15,,1010.8,
3/12/2021,27.2,24.9,30.6,0,,192,9,,1011.3,
3/13/2021,27.3,24.8,32.8,0,,196,10,,1010.9,
3/14/2021,27.7,25.1,30.9,0,,116,11,,1009.8,
3/15/2021,27.8,25.8,32.5,0,,103,12,,1009.2,
3/16/2021,28.1,25.3,31.8,0,,90,10,,1008.8,
3/17/2021,27.3,24.3,31.9,0,,153,9,,1008.5,
3/18/2021,28.5,25.4,32.4,0.5,,212,10,,1008.2,
3/19/2021,28.8,26,32.4,0,,211,12,,1008,
3/20/2021,28,26.4,30.9,0,,207,10,,1006.8,
3/21/2021,28.6,25.7,33.1,0,,125,9,,1007,
3/22/2021,28.5,25,33.2,0,,238,14,,1009,
3/23/2021,28,25,32.9,0,,116,11,,1009.1,
3/24/2021,26.1,24.4,29.8,0,,321,6,,1008.1,
3/25/2021,26.3,24.7,28.6,0,,170,10,,1008.3,
3/26/2021,28.4,25,31.7,0,,162,13,,1007.6,
3/27/2021,26.6,25,30.3,0,,238,11,,1008.4,
3/28/2021,28.8,23.8,31.7,0,,,,,,
3/29/2021,26.7,24.4,30.6,0,,,,,,
3/30/2021,28.6,,33.4,0,,,,,,
3/31/2021,28.3,23.1,32.4,0,,,,,,
